arm,label,n_rows,failure_rate,acc_all,acc_all_lo_naive_pooled,acc_all_hi_naive_pooled,acc_all_lo_cluster_bootstrap,acc_all_hi_cluster_bootstrap,acc_agent,acc_manual_routing_required,acc_high_risk,ece,brier,auroc,p50_s,p95_s,cost_per_1k_decisions,missed_escalation_rate
jev:typesafe/jev-1.13,Jev,300,0.0,0.47,0.414257807168565,0.5265007986312991,0.37,0.5633333333333332,0.8566666666666667,0.6433333333333333,0.8233333333333334,0.04333333333333325,0.15426844444444443,0.7402944356884891,0.40674228050920647,0.5473496342834551,0.00754614,0.0
llm:anthropic/claude-sonnet-5,claude-sonnet-5,300,0.010000000000000009,0.5966666666666667,0.5402701497811767,0.6506187870859278,0.5033333333333334,0.6833333333333335,0.8666666666666667,0.8233333333333334,0.8266666666666667,0.08609427609427618,0.12128698092031424,0.7688985196727698,5.222517493006308,8.574777107615954,1.1375869809203143,0.007407407407407408
llm:openai/gpt-5.6-sol,gpt-5.6-sol,300,0.0,0.57,0.5134401182890381,0.6247898015112788,0.48,0.66,0.8633333333333333,0.87,0.7533333333333333,0.0876777777777778,0.131593,0.7927953413878347,2.990749110991601,4.337662520245067,0.5674044444444445,0.06666666666666667
llm_split:openai/gpt-5.6-sol,gpt-5.6-sol (3 calls),300,0.0,0.32666666666666666,0.27607755922349825,0.38163882984238345,0.24333333333333335,0.4133333333333333,0.8633333333333333,0.6266666666666667,0.6233333333333333,0.2477777777777778,0.255678,0.7710561893693224,3.074553094993462,4.598614041334076,0.8889577777777778,0.022222222222222223
tfidf_lr,TF-IDF + LR,100,0.0,0.32,0.2366901081545688,0.4166280225367919,0.23,0.41,0.66,0.69,0.67,0.08631359334536119,0.20938492940181333,0.6532632855122247,6.389262998709455e-05,6.389262998709455e-05,0.0,0.4888888888888889
rules,Keyword rules,100,0.0,0.34,0.25461379497543,0.43722454341689065,0.25,0.44,0.76,0.65,0.7,,,,1.8026985344476998e-05,2.2884683858137578e-05,0.0,0.7111111111111111
